Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
06:53.5     	13.91 	59.7        	14.69
06:54.5     	13.93 	59.6        	14.70
06:55.4     	13.97 	59.5        	14.71
06:56.2     	13.95 	59.6        	14.72
06:57.1     	13.96 	60.3        	14.73
06:58.0     	13.97 	60.4        	14.73
06:58.9     	14.03 	62.6        	14.73
06:59.8     	14.04 	60.6        	14.74
07:00.7     	14.03 	60.2        	14.75
07:01.5     	14.00 	58.0        	14.75
07:02.4     	13.92 	57.6        	14.75
07:03.4     	13.88 	57.5        	14.75
07:04.9     	13.85 	57.4        	14.76
07:05.9     	13.85 	57.4        	14.76
07:06.1     	14.01 	59.5        	14.75
07:07.0     	14.05 	59.1        	14.75
07:07.9     	14.07 	59.5        	14.75
07:08.8     	14.07 	58.0        	14.74
07:09.6     	14.06 	57.4        	14.73
07:10.5     	14.03 	57.6        	14.72
07:11.4     	14.04 	57.8        	14.70
07:11.9     	14.03 	57.8        	14.70
07:12.3     	14.12 	59.8        	14.72
07:13.2     	14.12 	57.7        	14.71
07:14.1     	14.07 	58.5        	14.72
07:15.1     	14.03 	57.7        	14.70
07:16.0     	13.97 	57.1        	14.70
07:16.9     	13.97 	56.9        	14.69
07:17.7     	13.99 	56.9        	14.70
07:18.6     	13.98 	57.3        	14.69
07:19.5     	14.01 	58.1        	14.68
07:20.4     	13.99 	58.1        	14.68
07:21.3     	13.98 	57.8        	14.64
07:22.7     	13.97 	57.5        	14.61
07:22.8     	13.97 	57.5        	14.61
07:23.0     	14.05 	57.9        	14.64
07:23.9     	14.06 	58.8        	14.66
07:24.8     	14.10 	61.0        	14.64
07:25.8     	14.12 	61.3        	14.65
07:26.7     	14.20 	62.2        	14.67
07:27.6     	14.19 	60.6        	14.66
07:28.5     	14.20 	60.2        	14.66
07:29.4     	14.19 	59.6        	14.68
07:30.3     	14.05 	57.0        	14.68
07:31.1     	14.01 	56.5        	14.65
07:32.0     	13.99 	56.6        	14.67
07:32.9     	13.96 	56.5        	14.66
07:33.8     	13.94 	56.2        	14.66
07:34.7     	13.95 	56.1        	14.67
07:35.6     	13.92 	56.5        	14.66
07:36.6     	13.94 	57.3        	14.65
07:37.5     	13.96 	57.9        	14.66
07:38.4     	14.00 	58.2        	14.66
07:39.2     	14.01 	58.4        	14.64
07:40.1     	13.99 	57.9        	14.65
07:41.0     	14.03 	59.4        	14.63
07:41.9     	14.06 	60.4        	14.64
07:42.8     	14.12 	59.7        	14.66
07:43.7     	14.11 	59.2        	14.65
07:44.5     	14.12 	59.5        	14.66
07:45.4     	14.13 	58.3        	14.66
07:46.4     	14.13 	59.0        	14.66
07:47.3     	14.15 	59.4        	14.67
07:48.2     	14.15 	57.8        	14.67
07:49.1     	14.15 	57.3        	14.68
07:50.0     	14.13 	57.5        	14.68
07:50.9     	14.14 	57.8        	14.68
07:51.8     	14.15 	58.1        	14.69
07:52.7     	14.17 	58.8        	14.70
07:53.5     	14.18 	59.6        	14.71
07:54.4     	14.22 	61.7        	14.72
07:55.3     	14.25 	59.1        	14.72
07:56.2     	14.22 	57.6        	14.73
07:57.1     	14.22 	59.3        	14.74
07:58.0     	14.24 	59.0        	14.75
07:58.9     	14.23 	58.2        	14.76
07:59.9     	14.20 	58.5        	14.76
08:00.8     	14.19 	57.4        	14.77
08:01.6     	14.20 	57.0        	14.80
08:02.5     	14.18 	58.5        	14.80
08:03.4     	14.20 	59.8        	14.81
08:04.3     	14.18 	59.3        	14.81
08:05.2     	14.19 	58.1        	14.81
08:06.1     	14.18 	58.2        	14.82
08:07.0     	14.19 	58.3        	14.84
08:07.9     	14.17 	57.8        	14.83
08:08.8     	14.13 	56.3        	14.84
08:09.6     	14.09 	56.3        	14.83
08:10.6     	14.06 	56.1        	14.83
08:11.5     	14.02 	56.2        	14.82
08:12.4     	13.99 	56.3        	14.82
08:13.3     	13.99 	57.0        	14.81
08:14.2     	13.99 	56.9        	14.81
08:15.1     	14.02 	57.1        	14.81
08:16.0     	14.03 	57.3        	14.81
08:16.9     	14.06 	58.0        	14.81
08:17.7     	14.08 	58.1        	14.81
08:18.6     	14.08 	57.4        	14.81
08:19.9     	14.07 	56.8        	14.82
08:20.4     	14.10 	57.7        	14.82
08:21.3     	14.12 	58.1        	14.83
08:22.3     	14.14 	58.4        	14.82
