Time [mm:ss]	T [°C]    	U [%r H]	Tu Cap [°C]
06:04.4     	15.47     	63.0    	15.61
06:05.2     	15.39     	62.7    	15.61
06:06.6     	15.32     	62.4    	15.61
06:07.0     	15.27     	65.5    	15.60
06:07.9     	15.49     	65.2    	15.61
06:08.8     	15.40     	62.9    	15.60
06:09.7     	15.55     	66.8    	15.62
06:10.6     	15.59     	64.3    	15.63
06:11.5     	15.61     	63.3    	15.63
06:12.4     	15.46     	62.2    	15.63
06:13.2     	15.34     	62.8    	15.62
06:14.1     	15.33     	64.8    	15.62
06:15.1     	15.42     	64.4    	15.62
06:16.0     	15.48     	64.8    	15.62
06:16.9     	15.54     	65.6    	15.62
06:17.8     	15.71     	66.6    	15.64
06:18.6     	15.74     	62.8    	15.65
06:19.6     	15.61     	61.9    	15.65
06:20.5     	15.48     	61.9    	15.64
06:21.3     	15.35     	62.3    	15.63
06:22.6     	15.21     	62.7    	15.62
06:23.5     	15.21     	62.7    	15.61
06:24.0     	15.35     	63.2    	15.60
06:24.9     	15.43     	64.1    	15.60
06:25.8     	15.59     	64.8    	15.61
06:26.7     	15.76     	65.4    	15.63
06:27.6     	15.96     	66.3    	15.67
06:28.6     	16.06     	64.3    	15.70
06:29.4     	16.09     	65.1    	15.73
06:30.3     	16.14     	65.8    	15.77
06:31.2     	16.13     	61.9    	15.80
06:32.1     	15.95     	63.8    	15.82
06:33.0     	16.03     	67.5    	15.80
06:33.9     	16.20     	63.2    	15.89
06:34.7     	16.06     	58.9    	15.98
06:35.4     	16.20     	58.9    	15.98
06:35.6     	15.93     	65.2    	15.93
06:36.6     	16.10     	63.6    	15.95
06:37.5     	15.83     	62.4    	15.95
06:38.4     	15.66     	61.9    	15.94
06:39.3     	15.53     	62.1    	15.93
06:40.0     	15.40     	62.2    	15.94
06:40.1     	15.42     	62.4    	15.91
06:41.0     	15.35     	62.4    	15.88
06:42.0     	15.30     	63.4    	15.91
06:42.8     	15.35     	65.0    	15.84
06:43.7     	15.38     	62.7    	15.82
06:44.6     	15.36     	62.5    	15.79
06:45.5     	15.31     	62.5    	15.77
06:46.4     	15.27     	62.5    	15.75
06:47.4     	15.25     	62.7    	15.73
06:48.2     	15.27     	63.1    	15.71
06:49.1     	15.33     	63.9    	15.69
06:50.0     	15.39     	62.5    	15.68
06:50.9     	15.38     	62.2    	15.67
06:51.8     	15.34     	62.3    	15.66
06:52.7     	15.34     	62.5    	15.65
06:53.6     	15.34     	63.1    	15.64
06:54.5     	15.54     	64.0    	15.64
06:55.4     	15.55     	62.0    	15.64
06:56.2     	15.47     	62.0    	15.63
06:57.2     	15.44     	62.2    	15.63
06:58.1     	15.41     	62.2    	15.63
06:59.0     	15.40     	62.2    	15.63
06:59.9     	15.35     	62.3    	15.62
07:00.8     	15.33     	62.4    	15.61
07:01.6     	15.33     	62.6    	15.60
07:02.6     	15.38     	62.5    	15.60
07:03.5     	15.45     	63.7    	15.61
07:04.3     	15.58     	63.2    	15.61
07:05.2     	15.65     	63.0    	15.63
07:06.1     	15.71     	63.2    	15.64
07:07.0     	15.79     	63.2    	15.67
07:07.9     	15.82     	64.4    	15.69
07:08.9     	15.92     	63.8    	15.72
07:09.7     	15.97     	63.4    	15.75
07:10.6     	15.94     	62.9    	15.77
07:11.5     	15.87     	62.3    	15.79
07:12.4     	15.81     	62.8    	15.81
07:13.3     	15.90     	63.5    	15.83
07:14.2     	16.02     	64.8    	15.86
07:15.1     	16.21     	64.4    	15.89
07:16.0     	16.26     	64.3    	15.93
07:16.9     	16.35     	65.3    	15.97
07:17.7     	16.46     	65.3    	16.01
07:18.6     	16.57     	65.3    	15.97
07:18.9     	16.57     	67.3    	16.06
07:19.5     	16.77     	66.9    	16.11
07:20.5     	16.66     	61.4    	16.15
07:21.4     	16.31     	60.2    	16.16
07:22.3     	16.05     	62.5    	16.17
07:23.2     	15.97     	61.7    	16.17
07:24.1     	15.87     	62.2    	16.16
07:25.0     	15.80     	62.4    	16.15
07:25.8     	15.75     	63.0    	16.14
07:26.7     	15.75     	62.9    	16.12
07:27.6     	15.73     	62.5    	16.10
07:28.5     	15.71     	62.5    	16.09
07:29.4     	15.72     	62.7    	16.07
07:30.3     	15.74     	62.8    	16.06
07:31.3     	15.75     	62.4    	16.04
07:32.2     	15.75     	62.2    	16.03
07:33.1     	15.75     	62.3    	16.02
07:33.9     	15.79     	62.2    	16.01
07:34.8     	15.82     	62.0    	16.00
07:35.7     	15.83     	62.0    	15.99
07:36.6     	15.87     	62.8    	15.99
07:37.5     	15.90     	62.9    	15.99
07:38.4     	15.91     	62.3    	15.99
07:39.2     	15.86     	62.4    	15.99
07:40.1     	15.95     	64.5    	15.99
07:41.1     	16.10     	64.2    	16.01
07:42.0     	16.17     	63.1    	16.02
07:42.9     	16.19     	61.9    	16.04
07:43.8     	16.15     	62.9    	16.05
07:44.7     	16.13     	62.9    	16.07
07:45.6     	16.13     	63.4    	16.08
07:46.5     	16.18     	64.8    	16.10
07:47.3     	16.26     	64.5    	16.12
07:48.2     	16.31     	63.2    	16.13
07:49.1     	16.26     	62.3    	16.14
07:50.0     	16.18     	63.1    	16.15
07:51.4     	16.09     	64.0    	16.16
07:51.6     	16.09     	64.0    	16.16
07:51.8     	16.16     	63.6    	16.17
07:52.7     	16.19     	63.3    	16.18
07:53.7     	16.20     	64.2    	16.19
07:54.6     	16.19     	63.0    	16.20
07:55.4     	16.13     	63.2    	16.21
07:56.3     	16.09     	62.4    	16.21
07:57.2     	16.03     	62.5    	16.20
07:58.3     	15.98     	63.5    	16.20
07:59.0     	16.16     	66.4    	16.21
07:59.9     	16.37     	65.3    	16.23
08:00.7     	16.54     	64.3    	16.25
08:01.6     	16.58     	64.3    	16.25
08:02.5     	16.98     	68.6    	--
08:03.7     	17.39     	66.9    	--
08:04.7     	17.39     	66.0    	16.46
08:05.3     	17.22     	65.0    	16.51
08:06.2     	17.02     	64.2    	16.56
08:07.1     	16.99     	66.3    	16.60
08:08.5     	16.97     	68.4    	16.65
08:08.7     	16.97     	68.4    	16.65
08:08.8     	17.35     	--      	--
