Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
07:08.8     	15.14 	74.8    	16.42
07:09.6     	15.32 	73.5    	16.43
07:10.5     	15.25 	73.7    	16.43
07:11.5     	15.37 	73.2    	16.43
07:12.3     	15.58 	71.8    	16.44
07:13.2     	15.49 	71.7    	16.44
07:14.1     	15.57 	71.3    	16.44
07:15.0     	15.35 	72.4    	16.43
07:15.9     	15.11 	73.2    	16.43
07:16.8     	14.91 	73.6    	16.42
07:17.6     	14.85 	73.1    	16.42
07:18.5     	15.43 	70.2    	16.41
07:19.4     	15.97 	68.8    	16.40
07:20.3     	16.48 	66.6    	16.38
07:21.3     	16.96 	64.3    	16.37
07:22.2     	17.31 	62.1    	16.36
07:23.1     	17.61 	60.7    	16.34
07:24.0     	17.65 	60.0    	16.33
07:24.9     	17.73 	58.9    	16.31
07:25.7     	17.76 	58.5    	16.29
07:26.6     	17.69 	58.3    	16.27
07:27.5     	17.70 	57.8    	16.25
07:28.4     	17.68 	57.6    	16.22
07:29.3     	17.59 	57.7    	16.19
07:30.2     	17.49 	57.9    	16.16
07:31.1     	17.37 	58.3    	16.13
07:32.0     	17.22 	58.7    	16.10
07:32.9     	16.97 	59.7    	16.07
07:33.7     	16.68 	60.8    	16.04
07:34.6     	16.46 	61.6    	16.01
07:35.7     	16.34 	62.4    	15.99
07:36.5     	16.40 	62.6    	15.96
07:37.4     	16.29 	63.2    	15.94
07:38.3     	16.52 	62.4    	15.91
07:39.2     	16.96 	61.0    	15.89
07:40.1     	17.35 	59.6    	15.87
07:41.0     	17.57 	59.1    	15.85
07:41.9     	17.67 	58.9    	15.84
07:42.8     	17.67 	58.5    	15.82
07:43.7     	17.74 	58.3    	15.80
07:44.5     	17.60 	60.3    	15.79
07:45.4     	17.25 	61.9    	15.78
07:46.3     	16.79 	62.7    	15.77
07:47.2     	16.46 	64.3    	15.76
07:48.1     	16.13 	65.4    	15.76
07:49.1     	15.76 	66.5    	15.76
07:50.0     	15.41 	67.6    	15.76
07:50.9     	15.59 	66.4    	15.76
07:51.8     	15.51 	66.6    	15.75
07:52.6     	15.67 	66.0    	15.75
07:53.5     	15.83 	65.5    	15.75
07:54.4     	16.00 	64.7    	15.75
07:55.3     	15.70 	65.7    	15.75
07:56.2     	15.41 	66.8    	15.76
07:57.1     	15.18 	67.8    	15.76
07:58.0     	14.99 	68.7    	15.76
07:58.9     	14.82 	69.4    	15.76
07:59.8     	14.95 	68.8    	15.76
08:00.6     	15.23 	67.6    	15.77
08:01.6     	15.92 	64.7    	15.76
08:02.7     	16.61 	64.8    	15.78
08:03.4     	16.99 	61.2    	15.78
08:04.3     	17.34 	61.2    	15.79
08:05.2     	17.22 	63.0    	15.80
08:06.1     	16.79 	65.5    	15.80
08:07.0     	16.60 	66.1    	15.81
08:07.9     	16.98 	64.8    	15.82
08:08.7     	17.37 	63.6    	15.83
08:09.6     	17.28 	63.9    	15.84
08:10.5     	16.75 	65.5    	15.84
