Time [mm:ss]	T [°C]	U [%r H]   	Tu Cap [°C]
05:23.1     	16.05 	52.1       	16.90
05:24.0     	16.02 	53.8       	16.87
05:24.9     	16.09 	53.3       	16.84
05:25.8     	16.11 	52.5       	16.82
05:26.7     	16.08 	52.5       	16.79
05:27.6     	16.11 	53.7       	16.77
05:28.5     	16.17 	53.4       	16.76
05:29.4     	16.22 	57.0       	16.76
05:30.2     	16.35 	56.9       	16.76
05:31.2     	16.46 	58.6       	16.78
05:32.1     	16.67 	56.4       	16.80
05:32.9     	16.70 	54.8       	16.82
05:33.8     	16.64 	54.3       	16.84
05:34.8     	16.68 	58.2       	16.86
05:35.7     	16.81 	57.8       	16.89
05:36.6     	16.75 	52.1       	16.90
05:37.5     	16.67 	55.4       	16.91
05:38.4     	16.69 	52.7       	16.92
05:39.3     	16.43 	48.8       	16.90
05:40.2     	16.19 	49.0       	16.88
05:41.0     	16.09 	52.4       	16.86
05:41.9     	16.09 	51.8       	16.83
05:42.8     	16.08 	52.1       	16.81
05:43.7     	16.08 	52.7       	16.80
05:44.6     	16.14 	55.4       	16.79
05:45.5     	16.21 	55.5       	16.78
05:46.4     	16.27 	55.1       	16.78
05:47.3     	16.30 	53.2       	16.77
05:48.3     	16.30 	55.9       	16.77
05:49.1     	16.37 	55.1       	16.78
05:50.0     	16.39 	55.5       	16.78
05:50.9     	16.47 	56.1       	16.79
05:51.8     	16.49 	55.2       	16.80
05:52.7     	16.44 	51.6       	16.79
05:53.6     	16.25 	49.3       	16.77
05:54.5     	16.07 	50.3       	16.75
05:55.4     	16.05 	52.4       	16.74
05:56.3     	15.99 	52.4       	16.72
05:57.1     	15.99 	50.2       	16.69
05:58.0     	15.87 	50.2       	16.67
05:58.9     	15.83 	50.4       	16.64
05:59.8     	15.80 	51.1       	16.61
06:00.7     	15.78 	51.8       	16.58
06:01.7     	15.80 	51.5       	16.55
06:02.6     	15.75 	51.7       	16.52
06:03.5     	15.78 	51.0       	16.50
06:04.4     	15.77 	50.5       	16.48
06:05.2     	15.81 	54.2       	16.48
06:06.1     	15.92 	53.4       	16.31
06:07.0     	15.71 	53.5       	16.30
06:07.9     	15.75 	51.8       	16.30
06:08.8     	15.72 	52.6       	16.30
06:09.7     	15.73 	54.3       	16.30
06:10.6     	15.76 	51.9       	16.30
06:11.5     	15.97 	53.5       	16.44
06:12.4     	16.12 	53.9       	16.45
06:13.2     	16.05 	51.9       	16.46
06:14.1     	16.14 	53.4       	16.46
06:15.0     	16.14 	53.3       	16.47
06:16.0     	16.16 	54.5       	16.48
06:16.9     	16.26 	55.0       	16.49
06:17.8     	16.33 	56.2       	16.51
06:18.7     	16.43 	57.8       	16.54
06:19.6     	16.54 	56.8       	16.56
06:20.5     	16.54 	56.1       	16.58
06:21.3     	16.62 	59.0       	16.62
06:22.2     	16.84 	63.5       	16.69
06:23.2     	17.09 	64.0       	16.76
06:24.0     	17.17 	56.7       	16.79
06:24.9     	17.04 	56.3       	16.83
06:25.8     	17.04 	59.9       	16.87
06:26.7     	16.98 	56.3       	16.89
06:27.6     	16.98 	59.2       	16.93
06:28.5     	17.09 	60.2       	16.98
06:29.4     	17.04 	55.9       	17.00
06:30.4     	16.95 	55.6       	17.02
06:31.3     	16.92 	56.2       	17.04
06:32.1     	16.86 	56.6       	17.05
06:33.0     	16.94 	58.9       	17.08
06:33.9     	17.01 	59.7       	17.10
06:34.8     	17.09 	57.4       	17.12
06:35.7     	17.03 	57.5       	17.15
06:36.6     	17.04 	57.5       	17.17
06:37.4     	16.99 	56.4       	17.18
06:38.3     	16.94 	57.3       	17.19
06:39.3     	16.91 	56.5       	17.20
06:40.1     	16.85 	53.6       	17.20
06:41.1     	16.61 	51.2       	17.17
06:42.0     	16.46 	56.1       	17.16
06:42.9     	16.54 	57.6       	17.15
06:43.8     	16.62 	57.6       	17.13
06:44.7     	16.69 	57.4       	17.14
06:45.5     	16.64 	53.6       	17.11
06:46.5     	16.55 	54.6       	17.10
06:47.4     	16.45 	52.0       	17.08
06:48.2     	16.24 	51.6       	17.03
06:49.1     	16.17 	53.4       	17.00
06:50.0     	16.22 	55.4       	16.98
06:50.9     	16.21 	52.7       	16.95
06:51.8     	16.24 	55.2       	16.94
06:52.7     	16.27 	53.5       	16.92
06:53.5     	16.28 	54.2       	16.91
06:54.5     	16.30 	54.1       	16.89
06:55.5     	16.41 	56.6       	16.88
06:56.3     	16.52 	56.3       	16.90
06:57.2     	16.53 	53.6       	16.89
06:58.1     	16.54 	55.9       	16.90
06:59.0     	16.57 	54.4       	16.90
06:59.9     	16.48 	53.6       	16.88
07:00.8     	16.43 	53.8       	16.88
07:01.6     	16.37 	51.1       	16.88
07:02.6     	16.17 	48.5       	16.85
07:03.5     	16.11 	53.6       	16.82
07:04.3     	16.16 	55.9       	16.82
07:05.2     	16.08 	49.0       	16.79
07:06.1     	16.00 	50.6       	16.78
07:07.0     	15.90 	48.8       	16.75
07:07.9     	15.77 	49.8       	16.69
07:08.9     	15.71 	50.7       	16.66
07:09.8     	15.70 	50.5       	16.62
07:10.7     	15.70 	50.9       	16.59
07:11.6     	15.73 	52.3       	16.57
07:12.4     	15.78 	51.2       	16.56
07:13.3     	15.81 	51.5       	16.53
07:14.2     	15.85 	52.9       	16.53
07:15.1     	15.94 	51.7       	16.52
07:16.0     	15.82 	51.6       	16.44
07:16.9     	15.81 	51.1       	16.43
07:17.8     	15.80 	52.5       	16.42
07:18.7     	15.91 	52.6       	16.42
07:19.6     	15.88 	52.5       	16.42
07:20.4     	15.91 	50.4       	16.44
07:21.3     	15.85 	51.6       	16.49
07:22.2     	15.99 	51.5       	16.47
07:23.2     	15.80 	54.2       	16.31
07:24.1     	15.98 	52.3       	16.40
07:25.0     	15.98 	53.1       	16.40
07:25.9     	16.04 	54.5       	16.40
07:26.8     	16.07 	54.1       	16.41
07:27.7     	16.14 	55.9       	16.42
07:28.5     	16.26 	57.4       	16.44
07:29.4     	16.32 	54.1       	16.46
07:30.3     	16.33 	55.9       	16.49
07:31.2     	16.39 	56.6       	16.52
07:32.1     	16.35 	52.0       	16.53
07:33.0     	16.25 	51.6       	16.54
07:33.9     	16.20 	52.1       	16.55
07:34.8     	16.15 	51.8       	16.55
07:35.0     	16.15 	50.5       	16.53
07:35.7     	16.04 	57.4       	16.54
07:36.6     	16.20 	55.9       	16.55
07:37.6     	16.18 	50.4       	16.54
07:38.5     	16.10 	53.5       	16.54
07:39.3     	16.14 	54.8       	16.55
07:40.2     	16.15 	54.8       	16.51
07:41.1     	16.16 	52.4       	16.60
07:42.0     	16.21 	51.5       	16.59
07:42.9     	16.11 	51.4       	16.42
07:43.8     	15.89 	53.3       	16.39
07:44.7     	15.91 	54.9       	16.38
07:45.6     	15.98 	52.2       	16.43
07:46.5     	16.00 	52.9       	16.44
07:47.3     	15.99 	51.6       	16.45
07:48.2     	15.97 	50.8       	16.52
07:49.1     	16.02 	53.2       	16.34
07:50.1     	15.89 	54.9       	16.34
07:51.0     	16.00 	56.2       	16.36
07:51.9     	16.14 	57.8       	16.39
07:52.8     	16.28 	56.1       	16.42
