Time [mm:ss]	T [°C]	U [%r H]     	Tu Cap [°C]
14:31.4     	24.38 	46.4         	23.93
14:32.2     	24.42 	46.5         	23.93
14:33.1     	24.37 	46.8         	23.93
14:34.0     	24.32 	47.3         	23.92
14:34.9     	24.27 	47.5         	23.91
14:35.8     	24.27 	47.5         	23.91
14:36.8     	24.26 	47.2         	23.90
14:37.6     	24.21 	47.1         	23.89
14:38.5     	24.20 	47.1         	23.88
14:39.4     	24.28 	47.1         	23.88
14:40.3     	24.33 	46.8         	23.88
14:41.2     	24.32 	46.6         	23.89
14:42.1     	24.28 	46.6         	23.88
14:43.0     	24.22 	46.7         	23.88
14:43.9     	24.19 	46.6         	23.87
14:44.8     	24.31 	46.5         	23.89
14:45.6     	24.52 	46.2         	23.93
14:46.5     	24.97 	47.9         	23.99
14:47.5     	24.71 	49.7         	24.00
14:48.4     	24.34 	51.5         	23.99
14:49.3     	24.08 	53.4         	23.96
14:50.2     	23.93 	54.3         	23.92
14:51.0     	23.82 	53.4         	23.87
14:52.0     	23.67 	51.2         	23.81
14:52.9     	23.52 	51.3         	23.74
14:53.7     	23.43 	51.8         	23.66
14:54.6     	23.37 	51.9         	23.58
14:55.5     	23.33 	52.7         	23.51
14:56.4     	23.35 	52.6         	23.44
14:57.3     	23.38 	53.2         	23.39
14:58.3     	23.43 	51.6         	23.34
14:59.1     	23.42 	50.7         	23.29
15:00.0     	23.38 	50.4         	23.23
15:01.0     	23.31 	50.0         	23.19
15:01.8     	23.29 	50.2         	23.14
15:02.7     	23.35 	50.4         	23.11
15:03.6     	23.50 	49.6         	23.11
15:04.5     	24.12 	49.8         	23.17
15:05.4     	24.15 	51.2         	23.19
15:06.3     	23.96 	51.3         	23.20
15:07.1     	23.85 	51.0         	23.22
15:08.0     	23.89 	50.2         	23.25
15:09.0     	23.95 	51.5         	23.26
15:09.9     	23.74 	51.3         	23.25
15:10.8     	23.59 	52.5         	23.24
15:11.7     	23.57 	52.3         	23.23
15:12.6     	23.64 	52.9         	23.23
15:13.5     	23.62 	52.9         	23.22
15:14.4     	23.50 	52.2         	23.20
15:15.2     	23.52 	53.2         	23.19
15:16.6     	23.50 	54.3         	23.19
15:17.0     	23.90 	51.3         	23.23
15:17.9     	23.88 	49.7         	23.24
15:19.3     	23.85 	48.2         	23.24
15:19.6     	23.85 	48.2         	23.24
15:19.8     	23.41 	49.8         	23.20
15:20.6     	23.21 	50.3         	23.16
15:21.6     	23.23 	50.9         	23.13
15:22.5     	23.32 	51.0         	23.11
15:23.3     	23.32 	50.6         	23.07
15:24.2     	23.30 	49.9         	23.05
15:25.1     	23.22 	49.9         	23.01
15:26.0     	23.14 	50.5         	22.98
15:26.9     	23.14 	51.2         	22.95
15:27.8     	23.20 	50.8         	22.93
15:28.6     	23.30 	50.5         	22.92
15:29.5     	23.35 	50.8         	22.91
15:30.4     	23.43 	49.8         	22.91
15:31.4     	23.34 	49.4         	22.90
15:32.3     	23.30 	50.2         	22.89
15:33.2     	23.30 	50.2         	22.88
15:34.1     	23.36 	50.5         	22.88
15:35.0     	23.38 	49.9         	22.88
15:35.9     	23.41 	49.6         	22.88
15:36.7     	23.40 	49.6         	22.88
15:37.6     	23.37 	49.8         	22.88
15:38.5     	23.33 	50.1         	22.88
15:39.4     	23.32 	50.4         	22.87
15:40.3     	23.33 	50.5         	22.88
15:41.2     	23.34 	51.2         	22.88
15:42.2     	23.33 	51.3         	22.88
15:43.1     	23.30 	51.6         	22.88
15:44.0     	23.30 	51.6         	22.88
15:44.8     	23.33 	51.5         	22.89
15:45.7     	23.45 	51.5         	22.90
15:46.6     	23.53 	51.2         	22.92
15:47.5     	23.60 	50.9         	22.95
15:48.4     	23.61 	51.4         	22.97
15:49.3     	23.51 	51.7         	22.97
15:50.2     	23.45 	51.6         	22.98
15:51.1     	23.39 	51.2         	22.98
15:52.0     	23.37 	51.6         	22.98
15:52.8     	23.35 	51.6         	22.98
15:53.8     	23.34 	51.3         	22.98
15:54.7     	23.28 	50.5         	22.97
15:55.6     	23.18 	51.1         	22.95
15:56.5     	23.14 	51.4         	22.93
15:57.4     	23.09 	52.1         	22.91
15:58.2     	23.05 	52.7         	22.88
15:59.1     	23.09 	54.3         	22.87
16:00.0     	23.17 	54.9         	22.86
16:00.9     	23.21 	54.8         	22.86
16:01.8     	23.19 	54.2         	22.85
16:02.7     	23.23 	54.5         	22.85
16:03.7     	23.34 	55.6         	22.86
16:04.6     	23.44 	54.9         	22.88
16:05.5     	23.40 	55.6         	22.89
16:06.4     	23.45 	58.3         	22.91
16:07.2     	23.50 	57.3         	22.93
16:08.1     	23.44 	53.9         	22.93
16:09.0     	23.40 	54.2         	22.95
16:09.9     	23.49 	55.3         	22.98
16:10.8     	23.63 	54.5         	23.00
16:11.7     	23.61 	54.8         	23.03
16:12.5     	23.68 	55.9         	23.06
16:13.6     	23.77 	56.1         	23.09
16:14.5     	23.54 	51.4         	23.09
16:15.3     	23.30 	51.8         	23.07
16:16.2     	23.24 	52.2         	23.06
16:17.1     	23.25 	52.5         	23.05
16:18.0     	23.38 	51.2         	23.05
16:18.9     	23.41 	50.6         	23.05
16:19.8     	23.42 	50.3         	23.05
16:20.6     	23.42 	50.1         	23.05
16:21.5     	23.41 	49.9         	23.05
16:22.4     	23.40 	49.8         	23.05
16:23.3     	23.41 	49.5         	23.05
16:24.3     	23.41 	49.6         	23.05
16:25.2     	23.39 	49.6         	23.04
16:26.1     	23.36 	49.5         	23.03
16:27.0     	23.30 	49.6         	23.02
16:27.9     	23.24 	49.7         	23.00
16:28.7     	23.20 	49.8         	22.98
16:29.6     	23.24 	49.5         	22.97
16:30.5     	23.29 	49.3         	22.97
16:31.4     	23.32 	49.1         	22.96
16:32.3     	23.39 	48.9         	22.97
16:33.2     	23.43 	48.7         	22.98
16:34.1     	23.31 	49.1         	22.97
16:35.0     	23.25 	49.3         	22.96
16:36.0     	23.26 	49.6         	22.96
16:36.8     	23.25 	50.1         	22.95
16:37.7     	23.23 	50.5         	22.94
16:38.6     	23.22 	50.4         	22.93
16:39.5     	23.18 	50.0         	22.91
16:40.4     	23.12 	50.1         	22.90
16:41.3     	23.12 	49.9         	22.88
16:42.2     	23.09 	49.8         	22.86
16:43.1     	23.06 	49.8         	22.84
16:44.0     	23.02 	50.0         	22.82
16:44.8     	23.03 	49.9         	22.81
16:45.7     	23.06 	50.2         	22.79
16:46.6     	23.14 	50.4         	22.79
16:47.6     	23.14 	51.0         	22.78
16:48.5     	23.11 	51.7         	22.78
16:49.4     	23.13 	52.4         	22.77
16:50.2     	23.11 	51.0         	22.76
16:51.1     	23.06 	49.6         	22.75
16:52.0     	22.90 	50.2         	22.72
16:52.9     	22.82 	50.1         	22.69
16:53.8     	22.75 	50.7         	22.66
16:54.7     	22.74 	50.9         	22.63
16:55.6     	22.75 	51.7         	22.61
16:56.5     	22.83 	51.6         	22.60
16:57.5     	22.93 	51.5         	22.59
16:58.3     	23.03 	51.2         	22.60
16:59.2     	23.11 	52.0         	22.61
17:00.1     	23.16 	52.3         	22.63
17:01.0     	23.22 	51.7         	22.64
17:01.9     	23.17 	54.6         	22.66
17:02.8     	23.19 	55.4         	22.68
17:03.6     	23.24 	55.7         	22.70
17:04.5     	23.30 	56.7         	22.73
17:05.4     	23.36 	56.0         	22.76
17:06.3     	23.34 	53.8         	22.78
17:07.3     	23.28 	51.8         	22.79
17:08.2     	23.18 	51.3         	22.80
17:09.1     	23.12 	51.0         	22.79
17:10.0     	23.12 	50.9         	22.79
17:10.9     	23.08 	50.9         	22.79
17:11.7     	23.07 	50.7         	22.78
17:12.6     	23.04 	50.6         	22.77
17:13.5     	23.02 	50.4         	22.76
17:14.4     	23.01 	50.2         	22.74
17:15.5     	23.01 	50.1         	22.73
17:16.2     	22.99 	50.0         	22.72
17:17.1     	23.02 	49.8         	22.71
17:18.0     	23.06 	49.6         	22.71
17:18.9     	23.07 	49.5         	22.71
17:19.8     	23.07 	49.4         	22.70
17:20.7     	23.07 	49.3         	22.70
17:21.6     	23.07 	49.2         	22.70
17:22.5     	23.06 	49.2         	22.70
17:23.4     	23.05 	49.2         	22.69
17:24.3     	23.07 	49.2         	22.69
17:25.1     	23.07 	49.2         	22.68
17:26.0     	23.05 	49.3         	22.68
17:26.9     	23.04 	49.4         	22.67
17:27.8     	23.05 	49.4         	22.67
17:28.7     	23.05 	49.6         	22.67
17:29.6     	23.07 	49.7         	22.67
17:30.6     	23.07 	49.8         	22.67
17:31.5     	23.12 	49.7         	22.68
17:32.4     	23.13 	49.7         	22.68
17:33.2     	23.16 	50.0         	22.69
17:34.1     	23.18 	50.2         	22.70
17:35.0     	23.26 	50.3         	22.73
17:35.9     	23.31 	49.9         	22.75
17:36.8     	23.27 	49.9         	22.76
17:37.7     	23.19 	49.9         	22.77
17:38.6     	23.11 	49.9         	22.77
17:39.5     	23.06 	50.2         	22.76
17:40.4     	22.99 	50.0         	22.75
17:41.2     	22.93 	50.2         	22.73
17:42.2     	22.90 	50.5         	22.71
17:43.1     	22.89 	51.1         	22.70
17:44.0     	22.92 	51.9         	22.69
17:44.9     	22.94 	51.9         	22.68
17:45.8     	22.97 	51.5         	22.67
17:46.7     	22.99 	51.1         	22.67
17:47.6     	23.00 	50.5         	22.66
17:48.5     	22.97 	50.4         	22.65
17:49.3     	22.92 	50.3         	22.64
17:50.2     	22.88 	50.4         	22.62
17:51.1     	22.86 	50.4         	22.61
17:52.1     	22.87 	50.4         	22.59
17:53.0     	22.88 	50.5         	22.59
17:53.9     	22.89 	50.7         	22.58
17:54.7     	22.94 	50.5         	22.58
17:55.7     	22.98 	50.5         	22.58
17:56.6     	22.92 	50.8         	22.57
17:57.4     	22.85 	51.1         	22.56
17:58.3     	22.83 	51.5         	22.55
17:59.2     	22.85 	52.3         	22.55
18:00.1     	22.85 	52.6         	22.54
18:01.0     	22.82 	53.0         	22.53
18:01.9     	22.78 	51.5         	22.52
18:02.7     	22.72 	51.4         	22.50
18:03.7     	22.74 	51.3         	22.49
18:04.6     	22.74 	51.1         	22.48
18:05.5     	22.74 	51.1         	22.47
18:06.4     	22.74 	51.0         	22.46
18:07.3     	22.72 	51.1         	22.44
18:08.2     	22.73 	51.1         	22.44
18:09.1     	22.77 	51.4         	22.43
18:10.0     	22.79 	51.4         	22.43
18:10.8     	22.83 	51.3         	22.43
18:11.7     	22.85 	51.2         	22.44
18:12.6     	22.88 	51.2         	22.44
18:13.8     	22.91 	51.3         	22.46
18:14.5     	22.99 	51.7         	22.47
18:15.4     	23.02 	51.2         	22.50
18:16.2     	23.13 	50.8         	22.53
18:17.2     	23.22 	50.8         	22.56
18:18.1     	23.22 	51.1         	22.59
18:18.9     	23.10 	52.9         	22.61
18:19.8     	23.04 	55.5         	22.62
18:20.7     	23.05 	57.2         	22.64
18:21.6     	23.11 	58.9         	22.66
18:22.5     	23.16 	58.1         	22.68
18:23.4     	23.19 	58.0         	22.70
18:24.3     	23.23 	57.5         	22.72
18:25.2     	23.14 	53.5         	22.72
18:26.1     	22.99 	52.1         	22.71
18:27.1     	22.89 	53.6         	22.70
18:27.9     	22.88 	55.2         	22.69
18:28.8     	22.91 	56.1         	22.68
18:29.7     	22.97 	54.5         	22.67
18:30.6     	22.86 	51.3         	22.65
18:31.5     	22.76 	51.1         	22.62
18:32.4     	22.78 	51.7         	22.62
18:33.2     	22.97 	51.2         	22.63
18:34.1     	23.16 	50.5         	22.66
18:35.0     	23.25 	50.0         	22.69
18:36.0     	23.30 	49.7         	22.72
18:36.9     	23.33 	49.6         	22.75
18:37.8     	23.23 	50.2         	22.76
18:38.7     	23.21 	50.2         	22.78
18:39.6     	23.10 	51.2         	22.78
18:40.5     	23.01 	52.4         	22.78
18:41.3     	22.95 	52.7         	22.77
18:42.2     	22.96 	53.6         	22.76
18:43.1     	22.98 	53.6         	22.76
18:44.0     	23.06 	55.4         	22.77
18:44.9     	23.13 	54.6         	22.77
18:45.8     	23.09 	52.2         	22.77
18:46.7     	22.95 	52.2         	22.75
18:47.7     	22.84 	52.1         	22.73
18:48.6     	22.84 	53.1         	22.71
18:49.4     	22.86 	53.7         	22.69
18:50.3     	22.89 	54.8         	22.68
18:51.2     	22.91 	52.5         	22.67
18:52.1     	22.90 	56.1         	22.66
18:53.0     	22.99 	57.4         	22.66
18:53.9     	23.02 	53.0         	22.65
18:54.8     	22.93 	52.0         	22.64
18:55.7     	22.84 	52.1         	22.62
18:56.6     	22.86 	53.9         	22.62
18:57.4     	23.01 	54.0         	22.63
18:58.3     	23.04 	54.6         	22.63
18:59.3     	23.03 	55.7         	22.63
19:00.2     	23.05 	56.7         	22.64
19:01.1     	23.08 	56.5         	22.65
19:02.0     	23.08 	55.4         	22.66
19:02.8     	23.07 	54.6         	22.66
19:03.7     	23.08 	54.1         	22.67
19:04.6     	22.99 	52.0         	22.66
19:05.5     	22.85 	51.7         	22.64
19:06.4     	22.85 	51.9         	22.64
19:07.3     	23.01 	51.7         	22.65
19:08.3     	23.14 	51.2         	22.67
19:09.2     	23.17 	50.8         	22.69
19:10.0     	23.18 	50.7         	22.70
19:10.9     	23.14 	50.9         	22.73
19:11.8     	23.26 	50.4         	22.76
19:12.7     	23.31 	50.5         	22.79
19:13.6     	23.35 	50.3         	22.82
19:14.5     	23.32 	50.0         	22.84
19:15.4     	23.17 	50.4         	22.84
19:16.2     	23.02 	50.6         	22.83
19:17.1     	22.90 	51.0         	22.81
19:18.0     	22.85 	51.3         	22.79
19:18.9     	22.85 	51.4         	22.77
19:19.9     	22.88 	51.6         	22.75
19:20.8     	22.83 	52.4         	22.73
19:21.7     	22.80 	53.2         	22.70
19:22.6     	22.79 	54.4         	22.68
